num fastfair pgm alex xindex learngroup
3.08 0.601274 0.932370 0.381574 1.776790 2.862940
3.09 0.602552 0.592814 0.382214 1.809570 2.773040
3.1 0.600906 0.559483 0.384021 1.851450 2.873240
3.11 0.600345 0.686468 0.384144 1.792830 2.740830
3.12 0.603179 0.634028 0.385146 1.777560 2.796150
3.13 0.606423 0.547001 0.387941 1.754800 2.844810
3.14 0.595913 9.020790 0.380742 1.757780 2.778030
3.15 0.601245 0.584566 0.375994 1.790970 2.712950
3.16 0.602701 0.596634 0.377126 1.817940 2.656610
3.17 0.602591 0.732058 0.377344 1.748710 2.765400
3.18 0.605572 0.547815 0.379211 2.497390 2.751590
3.19 0.609509 0.610612 0.380247 1.884300 2.830390
3.2 0.604784 0.541750 0.380778 1.805880 2.690090
3.21 0.597647 0.955333 0.375123 1.789860 9.718130
3.22 0.618830 0.592757 0.371804 1.781250 2.834240
3.23 0.598593 0.557909 0.370915 1.766210 2.756940
3.24 0.604734 0.685601 0.371407 1.739370 2.851610
3.25 0.604643 0.548446 0.374832 1.703500 2.780630
3.26 0.611425 0.630162 0.376188 1.721600 2.884870
3.27 0.606922 1.360830 0.373696 1.740840 2.883210
3.28 0.604399 0.555636 0.366601 1.782190 2.855410
3.29 0.611247 0.593311 0.368393 1.735300 3.093460
3.3 0.608963 0.726122 0.370105 1.744950 2.893610
3.31 0.612318 0.550049 0.373413 1.739490 2.936810
3.32 0.614708 0.586331 0.373573 1.739520 2.949360
3.33 0.617990 0.559740 0.374733 1.747600 3.008310
3.34 0.606491 0.890242 0.369584 1.713990 3.061500
3.35 0.604043 0.634686 0.368795 1.712380 2.880260
3.36 0.614474 0.547349 0.373620 1.735930 2.839550
3.37 0.621241 0.700641 0.371458 1.772080 3.101750
3.38 0.614810 0.549194 0.368959 1.754200 2.854640
3.39 0.622726 0.631923 0.374407 1.788890 2.897710
3.4 0.613861 2.629820 0.376477 1.800070 3.009870
3.41 0.620139 0.581829 0.379276 1.806330 2.946820
3.42 0.620450 0.638779 0.381822 1.825270 2.902320
3.43 0.625489 0.546403 0.381372 1.954470 2.885420
3.44 0.624915 0.733157 0.383032 1.936840 2.926740
3.45 0.623890 0.593664 0.385236 1.895230 2.910140
3.46 0.620443 0.561247 0.387566 1.874620 3.132940
3.47 0.624222 0.890813 0.382684 1.852380 2.934070
3.48 0.615752 0.631640 0.375539 1.903510 2.976230
3.49 0.615479 0.536864 0.378702 1.977050 2.895880
3.5 0.616848 0.697810 0.377036 2.069650 2.899480
3.51 0.618476 0.562242 0.381685 2.029410 2.823490
3.52 0.622314 0.595814 0.381453 1.977250 2.956950
3.53 0.619412 1.324620 0.383173 1.953090 2.851270
3.54 0.612227 0.543992 0.378353 1.940690 2.848760
3.55 0.618390 0.608240 0.380131 1.769650 3.112200
3.56 0.617825 0.547362 0.379410 1.742230 2.976660
